"","Substance","Abbreviation","CAS"
"1","Perfluorobutane sulfonic acid","PFBS","375-73-5"
"11","Perfluorohexane sulfonic acid","PFHxS","355-46-4"
"21","Perfluorooctane sulfonic acid","PFOS","1763-23-1"
"31","Perfluorobutyric acid","PFBA","375-22-4"
"41","Perfluorohexanoic acid","PFHxA","307-24-4"
"51","Perfluorooctanoic acid","PFOA","335-67-1"
"61","Perfluorononanoic acid","PFNA","375-95-1"
"71","Perfluorodecanoic acid","PFDA","335-76-2"
"81","Perfluoroundecanoic acid","PFUnDA","2058-94-8"
"91","Perfluorododecanoic acid","PFDoA","307-55-1"
"101","Perfluorotridecanoic acid","PFTrDA","72629-94-8"
"111","Perfluorotetradecanoic acid","PFTeDA","376-06-7"
"121","Perfluorohexylphosphonic acid","PFHxPA","40143-76-8"
"131","Perfluorooctylphosphonic acid","PFOPA","40143-78-0"
"141","Perfluorodecylphosphonic acid","PFDPA","52299-26-0"
"151","Bis(perfluorohexyl) phosphinic acid","C6/C6 PFPiA","40143-77-9"
"161","Perfluorohexylperfluorooctyl phosphinate","C6/C8 PFPiA","610800-34-5"
"171","Bis(perfluorooctyl) phosphinic acid","C8/C8 PFPiA","40143-79-1"
"181","Perfluorohexylperfluorodecyl phosphinic acid","C6/C10 PFPiA","1240600-40-1"
"191","Perfluorooctylperfluorodecyl phosphinic acid","C8/C10 PFPiA","500776-81-8"
"201","Perfluorohexylperfluorododecyl phosphinic acid","C6/C12 PFPiA","1240600-41-2"
"211","K-6:2 fluorotelomer sulfonate","K-6:2 FTSA","59587-38-1"
"215","Perfluoroundecanoic acid","PFUnA","2058-94-8"
"219","Perfluorotetradecanoic acid","PFTA","376-06-7"
"221","Perfluorohexadecanoic acid","PFHxDA","67905-19-5"
"223","Perfluorooctadecanoic acid","PFODA","16517-11-6"
"248","6:2 chlorinated polyfluorinated ether sulfonate","F-53B","73606-19-6"
