,log(BCF) (L/Kg)
0,1.6
1,1.41
2,1.24
3,1.27
4,0.66
5,1.72
6,1.82
7,1.29
8,1.44
9,2.94
10,2.58
11,2.56
12,2.39
13,1.69
14,1.56
15,2.74
16,2.58
17,2.4
18,2.23
19,4.12
20,3.77
21,3.64
22,3.55
23,2.86
24,2.73
25,3.82
26,3.51
27,3.5
28,3.23
29,2.0
32,1.8
33,0.44
36,1.3
37,1.12
39,1.78
40,1.61
41,1.73
42,1.7
43,0.75
44,0.67
45,1.02
46,1.06
47,1.01
48,0.98
49,2.79
52,2.43
54,1.52
56,2.02
58,1.85
60,3.97
61,3.18
63,2.64
65,3.33
68,3.17
70,5.08
72,4.36
73,3.41
75,4.0
77,3.79
79,5.03
80,4.76
81,4.14
82,4.14
83,3.64
84,3.63
85,4.31
86,3.81
87,4.06
88,3.78
89,5.32
90,4.91
91,4.95
92,4.66
93,3.77
94,3.66
95,4.33
96,3.65
97,4.24
98,3.86
99,5.65
100,5.09
101,5.02
102,4.45
103,4.28
104,3.91
105,4.84
106,3.91
107,4.66
108,4.01
109,6.46
112,4.74
113,5.22
115,5.5
117,5.41
120,2.06
121,2.05
123,0.48
125,1.41
128,1.72
130,1.9
132,2.53
134,1.66
135,1.97
137,2.01
139,1.83
141,3.15
143,1.9
146,2.2
148,2.12
150,5.95
152,5.01
153,5.21
155,5.83
157,5.63
160,7.9
162,6.69
164,6.26
166,6.41
167,8.23
170,9.15
172,6.19
174,7.31
175,9.18
177,8.93
180,9.35
181,9.09
184,7.52
186,7.78
187,9.24
189,7.51
191,4.04
193,5.38
196,5.42
198,5.74
199,8.69
202,2.96
204,5.17
205,6.9
208,5.61
209,1.342422681
210,0.602059991
211,0.491361694
212,0.707570176
214,3.568201724
215,4.204119983
217,4.204119983
219,3.681241237
222,2.505149978
223,2.857332496
224,3.113943352
225,0.602059991
226,1.431363764
227,0.903089987
228,2.653212514
229,3.431363764
230,3.041392685
231,3.431363764
232,4.041392685
233,3.69019608
234,4.255272505
235,4.602059991
236,4.255272505
237,4.361727836
238,4.477121255
239,4.477121255
240,3.041392685
241,3.633468456
242,3.73239376
243,0.982271233
244,1.880813592
245,2.0
246,1.514105286
252,1.350126434
258,2.8162413
259,2.62324929
260,2.851258349
261,2.079181246
262,2.831229694
263,2.694605199
264,2.88536122
265,2.096910013
266,3.161966616
267,3.095518042
268,2.820201459
269,2.530199698
270,3.200576927
271,3.135132651
272,2.862727528
273,2.494154594
274,0.953587882
275,1.73884487
276,2.736426033
277,2.641853457
278,2.854880572
279,3.030417511
280,3.221130761
281,3.275167084
